pixel_group,iy,ix,lon,lat,bldh,ahem,y_ucd_slope_decade,y_wpp_slope_decade,ddT_cool_decade,dRH_decade,dpop_decade,dinfil_decade,dbvol_decade
102_72,102.0,72.0,88.2540283203125,22.525367736816406,6.918727874755859,269777.125,0.3404281566063856,84.54213119853121,0.3295245293761531,2.451713575119051,-905.404669842597,3.719266912594053,1232.7896354647141
102_73,102.0,73.0,88.26373291015625,22.525367736816406,8.298707008361816,322990.5,0.3511152364231124,90.2882499292084,0.3391736020021333,2.521383985814162,-1326.6059227975095,5.488196791757957,1508.3317717942805
102_74,102.0,74.0,88.27349853515625,22.525367736816406,8.397618293762207,422724.9375,0.34421529607139395,80.51718682418701,0.2988853313826107,2.738889338249821,-2106.748749567574,5.321641760118774,1748.8949708833027
102_75,102.0,75.0,88.28323364257812,22.525367736816406,7.195149898529053,526567.3125,0.3441956749261526,108.57437409933246,0.28017726771505996,2.816630577686321,-1625.752007178275,4.203925185537867,2358.8855295779517
102_76,102.0,76.0,88.29296875,22.52538299560547,6.634781360626221,1158002.5,0.0,0.0,0.15894083959150138,3.7444834524225827,298.6591184271219,8.206876670302503,2226.6031840982473
102_77,102.0,77.0,88.30270385742188,22.52538299560547,8.677635192871094,1169207.25,0.4244742270325383,0.09670122245825896,0.28108153395987084,2.7683222936861753,6174.537538197647,9.65986202563747,1119.6069966559041
102_78,102.0,78.0,88.31243896484375,22.52538299560547,9.631819725036621,935001.3125,0.7133430836385468,-29.86656221033592,0.23820996724371543,2.8102030547428827,3185.2246994637917,8.819950357134491,921.8812701798895
102_79,102.0,79.0,88.32217407226562,22.52538299560547,11.602438926696777,1955358.125,0.7138521117037954,-47.55929698088544,0.10888018731261531,3.4210147029707727,11283.151774388836,11.644600308689245,796.5835447416974
102_80,102.0,80.0,88.3319091796875,22.52538299560547,15.499741554260254,1016062.125,0.3344251979761018,-12.909269686989,0.19898981185856782,2.973249184457489,6972.201860153368,8.41096483913295,645.182627998155
102_81,102.0,81.0,88.3416748046875,22.52538299560547,15.204405784606934,1763049.75,0.5995475366106773,-40.692353581371904,0.24461865864996543,2.5516261519168006,9080.739610960562,3.8063991729623714,351.07176833487085
102_82,102.0,82.0,88.35140991210938,22.52538299560547,14.095508575439453,2876984.25,0.5742510570371283,-26.571287098596788,0.23403941925161442,2.406246575304064,13820.531163514761,4.819072990839772,32.38901060885609
102_83,102.0,83.0,88.36114501953125,22.52538299560547,14.513607025146484,1693801.5,0.5365666912050705,-33.272657027888364,0.15315545001153136,2.857849079879407,12753.470904923892,6.412038345618443,27.368254151291517
102_84,102.0,84.0,88.37088012695312,22.52538299560547,14.570862770080566,1616370.0,0.5341831300531366,-42.58338240421043,0.1690876527905904,2.8072472695931374,10230.144124048662,7.605871221676084,48.29004266605167
102_85,102.0,85.0,88.380615234375,22.52538299560547,11.894030570983887,935727.0,0.5284699918599147,-44.31207597949942,0.12684164012050278,3.2781448334219396,5958.048028136532,15.319249410031029,215.74117850553506
102_86,102.0,86.0,88.39035034179688,22.525367736816406,10.73744010925293,465955.8125,0.5069845189027682,30.836476489905262,0.13376834207795205,3.3707330273129354,621.2740176718173,24.049828589182496,853.170548892989
102_87,102.0,87.0,88.40008544921875,22.525367736816406,8.69715690612793,330692.46875,0.3794178333669571,106.43827186406943,0.09327511945773756,3.733539279352782,-1868.1568013434044,25.824910758606183,1369.9312442343175
103_62,103.0,62.0,88.1566162109375,22.534271240234375,2.674386501312256,270684.15625,0.0,0.0,0.09753631929629844,3.717635112806887,549.1279765336717,0.31091175396064114,362.5242406415764
103_63,103.0,63.0,88.16635131835938,22.53429412841797,2.2305614948272705,71225.3515625,0.0,0.0,0.06925406931071265,3.831051699389319,1379.4184470088721,1.5396033705820453e-08,250.63229043545323
103_64,103.0,64.0,88.17608642578125,22.53429412841797,2.536480188369751,73083.6953125,0.0,0.0,0.05465011315152215,3.9044652047256765,1223.3005740457797,0.0,301.5570372409046
103_65,103.0,65.0,88.18582153320312,22.53429412841797,2.933743953704834,97119.3828125,0.0,0.0,0.05837078024100554,3.9480668995552852,1349.9642505153079,0.0,341.42835778943726
103_66,103.0,66.0,88.195556640625,22.534324645996094,2.8302206993103027,92893.15625,0.0,0.0,0.05540854816507151,4.041162598452388,1053.9157949074608,0.0,269.9298411013895
103_67,103.0,67.0,88.205322265625,22.534332275390625,2.0290775299072266,87893.6171875,0.0,0.0,0.04244927550593865,4.145852577693546,400.3669293956124,0.0,148.15994882055753
103_68,103.0,68.0,88.21505737304688,22.534332275390625,2.2661285400390625,80926.34375,0.0,0.0,0.06065622027069881,4.038042741159829,807.2780099566132,0.0,171.5683816719759
103_69,103.0,69.0,88.22479248046875,22.534347534179688,3.0015764236450195,170324.484375,0.0,0.0,0.12418965132034136,3.5528834164551055,1069.3563561245965,0.0,217.79879974703067
103_70,103.0,70.0,88.23452758789062,22.534347534179688,2.5442066192626953,133768.9375,0.0,0.0,0.19784793642614162,3.1718069782195317,1282.8328656974315,1.0616183456899497,216.88894124048662
103_71,103.0,71.0,88.2442626953125,22.534347534179688,1.7042303085327148,53388.29296875,0.0,0.0,0.30948427770410514,2.6048938844680953,-314.4990680314518,2.8837916068045417,126.32174220912134
103_72,103.0,72.0,88.25399780273438,22.53436279296875,4.930486679077148,296603.1875,0.35419067993375214,124.4050124266999,0.34052380776493313,2.484971246848934,-1904.4183777531136,6.429055062607205,544.8176422682196
103_73,103.0,73.0,88.26373291015625,22.53436279296875,8.569883346557617,519441.0625,0.3486483299424287,64.90369059487774,0.3194419044410171,2.663756719051584,-2512.1073570110702,7.3919013329537595,1484.6958602398527
103_74,103.0,74.0,88.27349853515625,22.53436279296875,9.062363624572754,534382.5625,0.34411597845739106,62.25150691035318,0.29919895298806504,2.6731566379084204,-2443.026478897601,6.724057355930004,2359.554564979244
103_75,103.0,75.0,88.28323364257812,22.53436279296875,8.366389274597168,611006.3125,0.357895067917025,72.73463423491785,0.3187532882408903,2.5419422849950206,-1828.3469067112546,5.646800079908758,1914.310027963561
103_76,103.0,76.0,88.29296875,22.53436279296875,8.2328519821167,1333764.125,0.6185563288051704,58.40182635015843,0.2699268524057311,2.7126119740975483,-29.318244061347,7.54372607298003,1233.286006688192
103_77,103.0,77.0,88.30270385742188,22.53436279296875,8.92193603515625,1629590.625,0.758805081413241,62.83313971072961,0.2538550119998271,2.6457655314609934,274.75094052698347,6.103781809226174,763.8232241697417
103_78,103.0,78.0,88.31243896484375,22.53436279296875,9.82796859741211,1106895.375,0.4238407462285454,70.46803962307386,0.23007044493052353,2.7838962179370834,-1005.2643205142992,7.162695670039892,465.6085678044281
103_79,103.0,79.0,88.32217407226562,22.53436279296875,11.63737678527832,2636798.5,0.5576080193818715,-28.826222073416933,0.18661780550910978,2.9493368323649545,11245.847843634689,9.953500599878742,372.52551314575646
103_80,103.0,80.0,88.3319091796875,22.53436279296875,14.555389404296875,1446109.25,0.7715807541709985,-57.10927577668723,0.1992606412880535,2.833915095872452,9586.100812961256,8.807449200056576,576.3933492850555
103_81,103.0,81.0,88.3416748046875,22.53436279296875,14.666411399841309,1815470.875,0.5697235234109238,-34.623118143119136,0.19493018569101708,2.6909077905207033,10512.632971056273,2.2350471749956755,480.05664783210335
103_82,103.0,82.0,88.35140991210938,22.53436279296875,14.97560977935791,2637690.5,0.5354154153943501,-28.740803361842357,0.18860989391143915,2.8196361166324504,14549.701301602861,4.609059126174758,203.01141605166052
103_83,103.0,83.0,88.36114501953125,22.53436279296875,16.49835777282715,2117095.75,0.30545294394792233,-8.850364091380122,0.15088070802583026,2.993207915415712,13084.388801602861,7.301833937528829,337.7473477859779
103_84,103.0,84.0,88.37088012695312,22.53436279296875,16.093059539794922,3377774.25,0.5329540778790014,-30.682341826632545,0.15627364830777216,2.9188184437528646,14661.52163572417,7.925611967530197,237.16241928044283
103_85,103.0,85.0,88.380615234375,22.53436279296875,12.312357902526855,2599011.25,0.5166460183273822,-30.370573127180545,0.08224881443150368,3.4475760895664953,13502.519711427585,13.562205550415491,191.71507437730628
103_86,103.0,86.0,88.39035034179688,22.53436279296875,10.206241607666016,908455.8125,0.5075530108490554,-0.8863779236789013,0.09580267311462178,3.558360513043299,3057.537927381227,16.061254972901292,778.2942227859779
